transaction_id,date,store_id,region,city,channel,vendor,basket_id,basket_size,payment_type,product_id,sku,category,quantity,promo_flag,promo_discount_pct,temp_c,is_weekend,product_name,flavor,pack_size,unit_price,unit_cost,is_gluten_free,is_artisan,bake_type,shelf_life_days,calories_per_unit,inventory_received_qty,wastage_qty,net_unit_price,sales,cogs,margin
T1284855-1,2024-01-06,S0119,Central,St. Louis,Pickup,VendorD,1284855,6,MobilePay,B00052,SKU-B00052-TF99,Bakery,3,0,0,20.9,1,Bagel,Raspberry,4,7.41,5.24,0,0,Vendor baked,4,311,17,2,7.41,22.23,15.72,6.51
T1182591-2,2024-09-06,S0040,East,Boston,Online,VendorA,1182591,7,Debit,B00031,SKU-B00031-VLV6,Bakery,2,0,0,5.8,0,Tortilla Pack,Lemon,4,7.66,5.73,0,0,Vendor baked,4,239,9,0,7.66,15.32,11.46,3.86
T1944250-3,2024-08-05,S0098,South,Houston,InStore,RegionalFoods,1944250,12,Cash,B00071,SKU-B00071-KPN2,Bakery,2,0,0,30.4,0,Cinnamon Roll,Vanilla,1,8.7,5.33,0,0,In-store baked,5,251,8,0,8.7,17.4,10.66,6.74
T1499648-4,2024-01-20,S0022,Central,Nashville,InStore,VendorD,1499648,7,Credit,B00119,SKU-B00119-3Z62,Bakery,2,0,0,-6.9,1,Cinnamon Roll,Vanilla,6,4.71,2.61,0,1,Vendor baked,2,260,9,1,4.71,9.42,5.22,4.2
T1409637-5,2024-11-28,S0006,North,Detroit,InStore,VendorD,1409637,7,Cash,B00097,SKU-B00097-VUM6,Bakery,4,1,10,3.0,0,Brioche,Blueberry,6,3.35,2.66,0,0,In-store baked,2,318,12,0,3.02,12.08,10.64,1.44
T1314115-6,2024-03-21,S0087,South,Houston,InStore,VendorC,1314115,8,Debit,B00104,SKU-B00104-CR43,Bakery,1,1,30,-10.6,0,Brioche,Pumpkin,1,5.77,3.44,0,0,Vendor baked,6,235,9,0,4.04,4.04,3.44,0.6
T1829539-7,2024-04-03,S0116,South,Dallas,Delivery,NationalSupply,1829539,7,Credit,B00032, sku-b00032-djfg ,Bakery,3,0,0,21.2,0,Baguette,Vanilla,1,4.46,3.15,0,0,Vendor baked,2,279,6,0,4.46,13.38,9.45,3.93
T1154947-8,2024-03-08,S0090,South,Dallas,InStore,RegionalFoods,1154947,4,Credit,B00092,SKU-B00092-QS8B,Bakery,3,0,0,1.9,0,Cupcake,Plain,1,7.84,5.01,0,0,In-store baked,2,189,8,0,7.84,23.52,15.03,8.49
T1694589-9,2024-05-02,S0015,North,Columbus,Delivery,NationalSupply,1694589,8,Cash,B00155,SKU-B00155-5CQD,Bakery,5,0,0,16.8,0,Cinnamon Roll,Cheese,2,8.88,5.55,0,0,In-store baked,4,204,10,0,8.88,44.4,27.75,16.65
T1059500-10,2024-03-05,S0011,East,Philadelphia,Delivery,VendorC,1059500,7,Cash,B00171,SKU-B00171-I2GS,Bakery,1,0,0,2.1,0,Cinnamon Roll,Cinnamon,8,5.67,3.65,0,0,Vendor baked,7,277,13,1,5.67,5.67,3.65,2.02
