transaction_id,date,store_id,region,city,channel,vendor,basket_id,basket_size,payment_type,product_id,sku,category,quantity,promo_flag,promo_discount_pct,temp_c,is_weekend,product_name,beverage_type,package,size_ml,caffeine_mg,sugar_g,is_sugar_free,is_alcoholic_flag,unit_price,unit_cost,inventory_received_qty,wastage_qty,net_unit_price,sales,cogs,margin
T1502635-1,2024-10-23,S0120,North,Columbus,Online,VendorC,1502635,6,Cash,V00051,SKU-V00051-LIU0,Beverages,3,1,15,17.0,0,Iced Tea,Soda,Carton,355,115,31,0,0,112.73305221884586,3.93,14,0,5.75,17.25,11.79,5.46
T1528351-2,2024-09-18,S0042,North,Detroit,Pickup,RegionalFoods,1528351,7,Credit,V00057,SKU-V00057-PK2R,Beverages,1,0,0,12.6,0,Still Water,Water,Bottle,473,185,0,1,0,7.2,3.92,17,0,7.2,7.2,3.92,3.28
T1466967-3,2024-07-14,S0103,West,Las Vegas,InStore,VendorC,1466967,4,Credit,V00153,SKU-V00153-TAQL,Beverages,3,0,0,19.9,1,Tonic Water,Coffee,Can,473,56,26,0,0,2.84,1.71,15,0,2.84,8.52,5.13,3.39
T1065933-4,2024-04-19,S0073,South,Charlotte,Online,LocalCoop,1065933,4,Debit,V00200,SKU-V00200-ILYJ,Beverages,3,1,5,14.9,0,Cold Brew,Water,Bottle,330,15,29,0,0,3.28,2.25,19,0,3.12,9.36,6.75,2.61
T1188498-5,2024-02-12,S0088,Central,Kansas City,InStore,RegionalFoods,1188498,5,GiftCard,V00190,SKU-V00190-YTR8,Beverages,3,0,0,11.1,0,Cold Brew,Coffee,Can,1000,113,12,0,0,6.13,3.23,19,0,6.13,18.39,9.69,8.7
T1804076-6,2024-12-22,S0091,South,Houston,InStore,RegionalFoods,1804076,7,GiftCard,V00080,SKU-V00080-NUV3,Beverages,3,0,0,25.4,1,Cold Brew,Water,Can,500,3,4,0,0,5.36,3.29,11,0,5.36,16.08,9.87,6.21
T1015831-7,2024-08-07,S0098,East,New York,InStore,LocalCoop,1015831,7,MobilePay,V00161,SKU-V00161-6OVP,Beverages,4,0,0,25.5,0,Orange Soda,Coffee,Carton,355,142,64,0,0,4.13,2.58,24,1,4.13,16.52,10.32,6.2
T1255611-8,2024-01-18,S0034,Central,Denver,Delivery,NationalSupply,1255611,4,Cash,V00103,SKU-V00103-HOBA,Beverages,3,1,20,11.4,0,Tonic Water,Functional,Can,500,60,24,0,0,7.18,5.05,15,0,5.74,17.22,15.15,2.07
T1118035-9,2024-11-19,S0085,North,Detroit,Online,VendorC,1118035,8,Cash,V00101,SKU-V00101-H1MS,Beverages,4,0,0,13.6,0,Latte Bottle,Soda,Can,2000,98,15,0,0,8.78,5.01,11,0,8.78,35.12,20.04,15.08
T1570208-10,2024-10-28,S0113,North,Detroit,Online,VendorD,1570208,8,Credit,V00249,SKU-V00249-PVKA,Beverages,1,0,0,-1.5,0,Latte Bottle,Juice,Multi-pack,1500,0,30,0,0,4.16,2.48,12,0,4.16,4.16,2.48,1.68
T1483446-11,2024-07-17,S0068,West,San Diego,InStore,VendorC,1483446,7,Cash,V00222,SKU-V00222-QE41,Beverages,2,1,5,2.5,0,Sports Drink,Soda,Carton,2000,9,0,1,0,6.21,3.81,4,0,5.9,11.8,7.62,4.18
T1194923-12,2024-03-24,S0111,East,Pittsburgh,InStore,LocalCoop,1194923,8,Cash,V00187,SKU-V00187-ABUO,Beverages,2,0,0,10.9,1,Ginger Ale,Functional,Bottle,500,142,28,0,0,4.68,3.07,16,0,4.68,9.36,6.14,3.22
T1611177-13,2024-01-26,S0081,Central,Cleveland,InStore,NationalSupply,1611177,6,Credit,V00240,SKU-V00240-HM2Y,Beverages,3,0,0,20.3,0,Still Water,Soda,Bottle,750,83,22,0,0,7.57,5.3,14,0,7.57,22.71,15.9,6.81
T1223927-14,2024-11-23,S0056,South,Charlotte,InStore,VendorC,1223927,6,Credit,V00252,SKU-V00252-9XKH,Beverages,2,1,10,19.6,1,Energy Drink,Soda,Bottle,330,0,26,0,0,4.63,3.38,6,0,4.17,8.34,6.76,1.58
T1624014-15,2024-06-26,S0003,Central,Nashville,Online,VendorC,1624014,9,Debit,V00154,SKU-V00154-EEY0,Beverages,2,0,0,7.9,0,Sports Drink,Tea,Can,330,0,0,1,0,4.0,2.84,13,0,4.0,8.0,5.68,2.32
T1041429-16,2024-06-08,S0094,East,Boston,InStore,VendorD,1041429,7,Debit,V00248,SKU-V00248-ZOB4,Beverages,3,0,0,20.3,1,Still Water,Water,Bottle,355,43,27,0,0,1.56,0.91,10,0,1.56,4.68,2.73,1.95
T1215972-17,2024-11-15,S0067,North,Columbus,Delivery,VendorB,1215972,5,Credit,V00015,SKU-V00015-DXMK,Beverages,2,1,15,5.5,0,Cold Brew,Juice,Multi-pack,500,35,7,0,0,,4.52,18,0,5.29,10.58,9.04,1.54
T1614986-18,2024-02-17,S0004,East,Philadelphia,Delivery,LocalCoop,1614986,6,Debit,V00034,SKU-V00034-546N,Beverages,2,1,10,7.5,1,Iced Tea,Juice,Bottle,330,96,60,0,0,35.84540711890572,5.08,14,0,6.11,12.22,10.16,2.06
T1910569-19,2024-03-11,S0075,West,Los Angeles,Pickup,VendorC,1910569,4,Credit,V00192,SKU-V00192-8BWQ,Beverages,4,0,0,8.2,0,Cola,Functional,Can,500,64,17,0,0,5.12,3.58,22,1,5.12,20.48,14.32,6.16
T1891512-20,2024-08-25,S0085,West,Las Vegas,InStore,VendorC,1891512,7,GiftCard,V00096,SKU-V00096-I21F,Beverages,2,0,0,11.8,1,Cola,Soda,Can,591,78,67,0,0,5.43,3.65,21,0,5.43,10.86,7.3,3.56
T1176108-21,2024-11-02,S0020,East,Philadelphia,Online,RegionalFoods,1176108,6,Cash,V00123,SKU-V00123-H3HD,Beverages,1,0,0,15.2,1,Cold Brew,Water,Can,355,174,0,1,0,3.12,1.71,17,1,3.12,3.12,1.71,1.41
T1025276-22,2024-07-07,S0078,Central,Cleveland,Online,VendorB,1025276,3,Credit,V00021,SKU-V00021-92NZ,Beverages,2,0,0,5.7,1,Lemonade,Energy,Bottle,591,95,0,1,0,4.34,2.58,13,0,4.34,8.68,5.16,3.52
T1746820-23,2024-09-23,S0055,South,Atlanta,InStore,RegionalFoods,1746820,10,Cash,V00001,SKU-V00001-OE7V,Beverages,2,0,0,18.0,0,Sports Drink,Water,Bottle,750,44,19,0,0,,3.78,16,1,5.8,11.6,7.56,4.04
T1879207-24,2024-09-13,S0058,East,Philadelphia,InStore,NationalSupply,1879207,9,Credit,V00137,SKU-V00137-MMEB,Beverages,6,0,0,14.1,0,Still Water,Juice,Can,355,37,51,0,0,7.72,4.61,16,1,7.72,46.32,27.66,18.66
T1269116-25,2024-10-22,S0078,West,Phoenix,InStore,VendorD,1269116,7,Cash,V00070,SKU-V00070-BJ8Y,Beverages,5,1,10,13.4,0,Tonic Water,Coffee,Bottle,500,62,0,1,0,6.23,3.44,16,0,5.61,28.05,17.2,10.85
T1436759-26,2024-04-26,S0039,East,Pittsburgh,InStore,RegionalFoods,1436759,9,Credit,V00222,SKU-V00222-QE41,Beverages,4,0,0,4.3,0,Iced Tea,Functional,Carton,500,120,33,0,0,9.03,5.77,14,0,9.03,36.12,23.08,13.04
