customer_id,age,gender,income,account_balance,credit_score,loan_amount,loan_duration,interest_rate,employment_status,education_level,marital_status,num_of_dependents,housing_status,years_with_bank,num_of_products,has_credit_card,has_personal_loan,has_mortgage,num_of_transactions,satisfaction_score
1,56,Female,102879,77816,764,10795,11,5.39,Self-Employed,High School,Widowed,1,Mortgage,48,7,1,1,1,249,9.85
2,69,Female,58827,84588,381,35210,17,14.61,Unemployed,PhD,Single,2,Rent,19,9,1,0,1,40,3.62
3,46,Male,127188,17531,664,25185,7,11.55,Employed,PhD,Single,4,Mortgage,42,2,1,1,0,126,8.15
4,32,Female,25655,89340,462,49843,14,11.09,Self-Employed,High School,Married,2,Own,3,7,1,0,1,204,5.41
5,60,Male,64859,95439,347,25979,26,13.09,Unemployed,PhD,Widowed,4,Own,27,1,0,1,0,99,1.36
6,25,Male,73625,45857,810,46672,11,3.51,Employed,Bachelor,Single,4,Own,3,2,1,0,0,187,7.87
7,38,Female,72098,11142,628,34129,28,11.18,Self-Employed,Bachelor,Married,1,Own,28,6,1,1,1,154,2.52
8,56,Male,35251,49355,415,42543,22,8.55,Unemployed,Bachelor,Widowed,1,Own,17,5,1,0,0,211,6.68
9,36,Male,142413,10866,636,17533,9,12.78,Self-Employed,PhD,Married,3,Own,31,8,0,1,1,212,1.77
10,40,Male,20526,71067,446,37402,23,8.61,Unemployed,Bachelor,Divorced,0,Rent,10,2,0,1,0,33,9.52
11,28,Male,88760,65027,622,45071,13,10.06,Unemployed,Bachelor,Widowed,3,Own,49,1,0,0,0,114,3.63
12,28,Female,67837,58906,742,15908,23,8.21,Self-Employed,High School,Single,3,Mortgage,22,7,1,1,0,284,3.04
13,41,Female,145133,29138,312,17920,18,8.22,Self-Employed,High School,Single,2,Own,30,6,0,1,0,69,2.16
14,53,Female,149478,93601,793,16851,28,11.98,Unemployed,Master,Divorced,4,Rent,49,8,0,1,1,24,9.51
15,57,Female,31536,30956,586,4631,11,10.17,Employed,Master,Widowed,4,Own,21,8,0,1,0,94,7.41
16,41,Male,48541,77295,413,45325,15,10.23,Self-Employed,Master,Married,4,Mortgage,36,2,1,1,1,206,7.67
17,20,Male,99083,6439,779,11849,25,7.85,Unemployed,Master,Single,0,Mortgage,23,8,0,1,0,244,5.49
